,Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,movieId,imdbId,tmdbId,randomNumber,Budget,Box Office,Rated,Metascore,IMDB Rating,IMDB Votes,Rotten Tomatoes
107,107,tt1282140,Easy A,Easy A,2010,92,"Comedy,Drama,Romance",80549,1282140,37735.0,0.0169891935263298,8000000.0,75026327,PG-13,72.0,7.0,372216.0,85.0
108,108,tt0492486,Shrooms,Shrooms,2007,84,"Comedy,Horror,Mystery",60538,492486,14456.0,0.0170249394605099,,4910682,Not Rated,,4.7,16378.0,22.0
109,109,tt0399877,What the #$*! Do We (K)now!?,What the #$*! Do We (K)now!?,2004,109,"Comedy,Documentary,Drama",27899,399877,8357.0,0.0170824768617127,,10000000,Not Rated,38.0,5.3,13439.0,34.0
110,110,tt0381971,Curious George,Curious George,2006,87,"Adventure,Animation,Comedy",43869,381971,9975.0,0.0173978826683914,50000000.0,69834815,G,62.0,6.5,16206.0,70.0
111,111,tt0337741,Something's Gotta Give,Something's Gotta Give,2003,128,"Comedy,Drama,Romance",7149,337741,6964.0,0.0175263204012409,80000000.0,266728738,PG-13,66.0,6.7,116045.0,72.0
112,112,tt0236493,The Mexican,The Mexican,2001,123,"Adventure,Comedy,Crime",4161,236493,6073.0,0.017645445509965,57000000.0,147845033,R,43.0,6.1,106144.0,54.0
113,113,tt0234215,The Matrix Reloaded,The Matrix Reloaded,2003,138,"Action,Sci-Fi",6365,234215,604.0,0.0177974783339693,150000000.0,738599701,R,62.0,7.2,538534.0,73.0
114,114,tt0277296,The Scorpion King,The Scorpion King,2002,92,"Action,Adventure,Fantasy",5313,277296,9334.0,0.017973724085856,60000000.0,165333180,PG-13,45.0,5.5,134455.0,41.0
115,115,tt0462465,Outlander,Outlander,2008,115,"Action,Adventure,Sci-Fi",65982,462465,10529.0,0.0180110089239301,50000000.0,7033683,R,40.0,6.2,73558.0,38.0
116,116,tt5266218,Bengal Tiger,Bengal Tiger,2015,145,"Action,Comedy",187891,5266218,363152.0,0.0180737952491103,2800000.0,5600000,Not Rated,,5.3,782.0,
117,117,tt0477323,It Doesn't Hurt Me,Mne ne bolno,2006,100,"Drama,Romance",163717,477323,65839.0,0.0182220859397952,,1110566,Not Rated,,6.8,1618.0,
118,118,tt1458169,Kidnap,Kidnap,2017,95,"Action,Crime,Drama",173161,1458169,293768.0,0.0183951893960395,21000000.0,30718107,R,44.0,5.9,35724.0,35.0
119,119,tt0765128,Oceans,Océans,2009,104,Documentary,76054,765128,36970.0,0.0186092754207005,,19406406,G,75.0,7.8,9514.0,80.0
120,120,tt3860916,Cargo,Cargo,2017,105,"Drama,Horror,Sci-Fi",188541,3860916,425972.0,0.0186632574376597,,56385,TV-MA,65.0,6.3,40795.0,67.0
121,121,tt0409527,Shabd,Shabd,2005,140,"Drama,Thriller",136848,409527,21905.0,0.0186892381917109,2500000.0,3100000,,,5.1,1404.0,
122,122,tt1668200,Elle s'appelait Sarah,Elle s'appelait Sarah,2010,111,"Drama,War",91290,1668200,53457.0,0.018877423752377,10000000.0,17511906,PG-13,59.0,7.5,16793.0,72.0
123,123,tt1798243,Rudderless,Rudderless,2014,105,"Comedy,Drama,Music",116817,1798243,244403.0,0.0190243137355664,5000000.0,58293,R,52.0,7.5,18299.0,64.0
124,124,tt1185242,Finding Bliss,Finding Bliss,2009,96,"Comedy,Romance",113037,1185242,31896.0,0.0190839932699495,1500000.0,6783,R,30.0,5.3,2482.0,30.0
125,125,tt2314824,Behaving Badly,Behaving Badly,2014,97,"Comedy,Romance",119222,2314824,259018.0,0.019132261732376,,422697,R,18.0,4.4,11426.0,0.0
126,126,tt1954352,Crooked Arrows,Crooked Arrows,2012,105,"Drama,Sport",98845,1954352,106135.0,0.0191515811712413,13000000.0,1832541,PG-13,42.0,6.0,1917.0,41.0
127,127,tt0304229,Japanese Story,Japanese Story,2003,110,"Drama,Romance",7167,304229,13433.0,0.0193453788233872,5740000.0,4098613,R,73.0,6.7,6406.0,68.0
128,128,tt5180240,Elementary,Primaire,2016,105,"Drama,Family",177915,5180240,395769.0,0.0194173707056425,,1225280,,,6.6,434.0,100.0
129,129,tt1300851,The Boondock Saints II: All Saints Day,The Boondock Saints II: All Saints Day,2009,118,"Action,Crime,Thriller",72167,1300851,22821.0,0.0196618989777369,8000000.0,10629321,R,24.0,6.3,62945.0,23.0
130,130,tt3540136,Wolf Warrior,Zhan lang,2015,90,"Action,Crime,Thriller",145773,3540136,335462.0,0.0197883782281509,12000000.0,80000000,Not Rated,,5.4,4874.0,
131,131,tt1049413,Up,Up,2009,96,"Adventure,Animation,Comedy",68954,1049413,14160.0,0.0198209608683173,175000000.0,735099082,PG,88.0,8.2,977360.0,98.0
132,132,tt0191754,28 Days,28 Days,2000,103,"Comedy,Drama",3534,191754,10468.0,0.0198505394644302,43000000.0,6219894,PG-13,46.0,6.1,47289.0,33.0
133,133,tt0415306,Talladega Nights: The Ballad of Ricky Bobby,Talladega Nights: The Ballad of Ricky Bobby,2006,108,"Comedy,Sport",46970,415306,9718.0,0.0198683512682061,72500000.0,162966177,PG-13,66.0,6.6,174810.0,71.0
134,134,tt0411477,Hellboy II: The Golden Army,Hellboy II: The Golden Army,2008,120,"Action,Adventure,Fantasy",57640,411477,11253.0,0.0199903785189601,85000000.0,160388063,PG-13,78.0,7.0,262261.0,86.0
135,135,tt1181795,Bunraku,Bunraku,2010,124,"Action,Drama,Thriller",91273,1181795,30618.0,0.0200159024277359,25000000.0,129706,R,28.0,6.2,19622.0,17.0
136,136,tt2368619,The Take,Bastille Day,2016,92,"Action,Crime,Drama",157326,2368619,333669.0,0.0201572184794669,20000000.0,14397593,R,48.0,6.3,41168.0,48.0
137,137,tt4337072,Ghost in the Shell: The New Movie,Kôkaku Kidôtai Shin Gekijôban,2015,100,"Action,Animation,Sci-Fi",148855,4337072,334376.0,0.0201591442195399,,101203,TV-MA,,6.7,3707.0,
138,138,tt1355546,Ayan,Ayan,2009,162,Action,155092,1355546,20049.0,0.0202108050837402,3230939.0,18000000,Not Rated,,7.5,9663.0,
139,139,tt3702652,The Other Side of the Door,The Other Side of the Door,2016,96,Horror,151735,3702652,364116.0,0.0205979421178399,,14332467,R,41.0,5.3,17642.0,37.0
140,140,tt0377092,Mean Girls,Mean Girls,2004,97,Comedy,7451,377092,10625.0,0.0211650603810942,17000000.0,129042871,PG-13,66.0,7.0,356252.0,84.0
141,141,tt1046947,Last Chance Harvey,Last Chance Harvey,2008,93,"Drama,Romance",65465,1046947,16409.0,0.0212835003760447,,32562782,PG-13,57.0,6.6,21023.0,71.0
